,drug_a_name,drug_b_name,cell_line,synergy,fold
5-FU_AZD1775_CAOV3,5-FU,AZD1775,CAOV3,0.1516817844020422,1
5-FU_AZD1775_COLO320DM,5-FU,AZD1775,COLO320DM,0.021682601224763832,1
5-FU_AZD1775_DLD1,5-FU,AZD1775,DLD1,0.027435871421392966,1
5-FU_AZD1775_EFM192B,5-FU,AZD1775,EFM192B,-0.07563575860085825,1
5-FU_AZD1775_ES2,5-FU,AZD1775,ES2,0.05561000466198718,1
5-FU_AZD1775_HCT116,5-FU,AZD1775,HCT116,0.04896937842632468,1
5-FU_AZD1775_HT144,5-FU,AZD1775,HT144,-0.017135231988456,1
5-FU_AZD1775_HT29,5-FU,AZD1775,HT29,0.0657277144107866,1
5-FU_AZD1775_KPL1,5-FU,AZD1775,KPL1,-0.08005807299320086,1
5-FU_AZD1775_LNCAP,5-FU,AZD1775,LNCAP,-0.013283295350338975,1
5-FU_AZD1775_LOVO,5-FU,AZD1775,LOVO,-0.0538810701519261,1
5-FU_AZD1775_MDAMB436,5-FU,AZD1775,MDAMB436,0.0820306575591929,1
5-FU_AZD1775_MSTO,5-FU,AZD1775,MSTO,-0.129008364969712,1
5-FU_AZD1775_NCIH1650,5-FU,AZD1775,NCIH1650,-0.020754976967082468,1
5-FU_AZD1775_NCIH2122,5-FU,AZD1775,NCIH2122,0.028985411538392125,1
5-FU_AZD1775_NCIH23,5-FU,AZD1775,NCIH23,-0.04331374695659578,1
5-FU_AZD1775_NCIH460,5-FU,AZD1775,NCIH460,0.05205591586355221,1
5-FU_AZD1775_NCIH520,5-FU,AZD1775,NCIH520,-0.014430732454726487,1
5-FU_AZD1775_OCUBM,5-FU,AZD1775,OCUBM,0.15145004515232607,1
5-FU_AZD1775_OV90,5-FU,AZD1775,OV90,-0.07617702519702022,1
5-FU_AZD1775_OVCAR3,5-FU,AZD1775,OVCAR3,0.023490969304594878,1
5-FU_AZD1775_PA1,5-FU,AZD1775,PA1,0.14099988469604535,1
5-FU_AZD1775_RKO,5-FU,AZD1775,RKO,0.05518043985027519,1
5-FU_AZD1775_RPMI7951,5-FU,AZD1775,RPMI7951,0.012239425979044974,1
5-FU_AZD1775_SKMEL30,5-FU,AZD1775,SKMEL30,0.030985963951206563,1
5-FU_AZD1775_SKMES1,5-FU,AZD1775,SKMES1,0.07989086049086189,1
5-FU_AZD1775_SKOV3,5-FU,AZD1775,SKOV3,0.044614293719362416,1
5-FU_AZD1775_SW620,5-FU,AZD1775,SW620,0.04596537461430272,1
5-FU_AZD1775_SW837,5-FU,AZD1775,SW837,-0.038727217521082574,1
5-FU_AZD1775_T47D,5-FU,AZD1775,T47D,-0.024072378064342925,1
5-FU_AZD1775_UACC62,5-FU,AZD1775,UACC62,0.0021107881116724306,1
5-FU_AZD1775_UWB1289BRCA1,5-FU,AZD1775,UWB1289BRCA1,-0.03718233578765634,1
5-FU_AZD1775_UWB1289,5-FU,AZD1775,UWB1289,-0.041228268050172455,1
5-FU_AZD1775_VCAP,5-FU,AZD1775,VCAP,-0.01372603153616082,1
5-FU_AZD1775_ZR751,5-FU,AZD1775,ZR751,-0.11430997971952858,1
5-FU_BEZ-235_A2058,5-FU,BEZ-235,A2058,0.007791034253277882,1
5-FU_BEZ-235_A2780,5-FU,BEZ-235,A2780,0.034597131819215726,1
5-FU_BEZ-235_A375,5-FU,BEZ-235,A375,-0.009157438786066143,1
5-FU_BEZ-235_A427,5-FU,BEZ-235,A427,-0.03210520140942551,1
5-FU_BEZ-235_CAOV3,5-FU,BEZ-235,CAOV3,0.0036083123337446368,1
5-FU_BEZ-235_COLO320DM,5-FU,BEZ-235,COLO320DM,-0.04422083228617031,1
5-FU_BEZ-235_DLD1,5-FU,BEZ-235,DLD1,-0.012892171877876838,1
5-FU_BEZ-235_EFM192B,5-FU,BEZ-235,EFM192B,-0.05526904831633833,1
5-FU_BEZ-235_ES2,5-FU,BEZ-235,ES2,-0.055492408240908946,1
5-FU_BEZ-235_HCT116,5-FU,BEZ-235,HCT116,-0.025216735427061588,1
5-FU_BEZ-235_HT144,5-FU,BEZ-235,HT144,-0.029166034139394687,1
5-FU_BEZ-235_HT29,5-FU,BEZ-235,HT29,0.011551951540971068,1
5-FU_BEZ-235_KPL1,5-FU,BEZ-235,KPL1,-0.026245496739025122,1
5-FU_BEZ-235_LNCAP,5-FU,BEZ-235,LNCAP,-0.026488029880104822,1
5-FU_BEZ-235_LOVO,5-FU,BEZ-235,LOVO,-0.08480752622896214,1
5-FU_BEZ-235_MDAMB436,5-FU,BEZ-235,MDAMB436,-0.03929806079839013,1
5-FU_BEZ-235_MSTO,5-FU,BEZ-235,MSTO,-0.03655532597765132,1
5-FU_BEZ-235_NCIH1650,5-FU,BEZ-235,NCIH1650,-0.03199198218473649,1
5-FU_BEZ-235_NCIH2122,5-FU,BEZ-235,NCIH2122,-0.05130918742186513,1
5-FU_BEZ-235_NCIH23,5-FU,BEZ-235,NCIH23,-0.054171354080587146,1
5-FU_BEZ-235_NCIH460,5-FU,BEZ-235,NCIH460,0.026622658214363465,1
5-FU_BEZ-235_NCIH520,5-FU,BEZ-235,NCIH520,-0.0006025673682290792,1
5-FU_BEZ-235_OCUBM,5-FU,BEZ-235,OCUBM,0.0326789982292977,1
5-FU_BEZ-235_OV90,5-FU,BEZ-235,OV90,0.012435421138758628,1
5-FU_BEZ-235_OVCAR3,5-FU,BEZ-235,OVCAR3,-0.03039375832072458,1
5-FU_BEZ-235_PA1,5-FU,BEZ-235,PA1,0.05875667527746056,1
5-FU_BEZ-235_RKO,5-FU,BEZ-235,RKO,-0.04747738179257058,1
5-FU_BEZ-235_RPMI7951,5-FU,BEZ-235,RPMI7951,-0.005408753097620274,1
5-FU_BEZ-235_SKMEL30,5-FU,BEZ-235,SKMEL30,-0.2845992135076648,1
5-FU_BEZ-235_SKMES1,5-FU,BEZ-235,SKMES1,0.0004990995771623763,1
5-FU_BEZ-235_SKOV3,5-FU,BEZ-235,SKOV3,0.002749793474148733,1
5-FU_BEZ-235_SW620,5-FU,BEZ-235,SW620,0.03374831030578479,1
5-FU_BEZ-235_SW837,5-FU,BEZ-235,SW837,-0.03503502606752772,1
5-FU_BEZ-235_T47D,5-FU,BEZ-235,T47D,0.05538908122693991,1
5-FU_BEZ-235_UACC62,5-FU,BEZ-235,UACC62,-0.0199221163393684,1
5-FU_BEZ-235_UWB1289BRCA1,5-FU,BEZ-235,UWB1289BRCA1,0.01636034762930503,1
5-FU_BEZ-235_UWB1289,5-FU,BEZ-235,UWB1289,0.007172100435668585,1
5-FU_BEZ-235_VCAP,5-FU,BEZ-235,VCAP,0.04647215288999311,1
5-FU_BEZ-235_ZR751,5-FU,BEZ-235,ZR751,-0.060665504061764366,1
5-FU_BORTEZOMIB_A2058,5-FU,BORTEZOMIB,A2058,-0.004810699299241012,2
5-FU_BORTEZOMIB_A2780,5-FU,BORTEZOMIB,A2780,0.022142804530028308,2
5-FU_BORTEZOMIB_A375,5-FU,BORTEZOMIB,A375,-0.01661540118880699,2
5-FU_BORTEZOMIB_A427,5-FU,BORTEZOMIB,A427,0.009311751228677174,2
5-FU_BORTEZOMIB_CAOV3,5-FU,BORTEZOMIB,CAOV3,0.05890119388818403,2
5-FU_BORTEZOMIB_COLO320DM,5-FU,BORTEZOMIB,COLO320DM,0.03927256664123145,2
5-FU_BORTEZOMIB_DLD1,5-FU,BORTEZOMIB,DLD1,0.010276852360602426,2
5-FU_BORTEZOMIB_EFM192B,5-FU,BORTEZOMIB,EFM192B,-0.04116255334291272,2
5-FU_BORTEZOMIB_ES2,5-FU,BORTEZOMIB,ES2,0.06335946858873906,2
5-FU_BORTEZOMIB_HCT116,5-FU,BORTEZOMIB,HCT116,0.008439636557727266,2
5-FU_BORTEZOMIB_HT144,5-FU,BORTEZOMIB,HT144,-0.03143815209704099,2
5-FU_BORTEZOMIB_HT29,5-FU,BORTEZOMIB,HT29,0.01766541447477575,2
5-FU_BORTEZOMIB_KPL1,5-FU,BORTEZOMIB,KPL1,-0.06108923080000582,2
5-FU_BORTEZOMIB_LNCAP,5-FU,BORTEZOMIB,LNCAP,0.005834741312195762,2
5-FU_BORTEZOMIB_LOVO,5-FU,BORTEZOMIB,LOVO,0.003134078598423502,2
5-FU_BORTEZOMIB_MDAMB436,5-FU,BORTEZOMIB,MDAMB436,-0.010235333575495248,2
5-FU_BORTEZOMIB_MSTO,5-FU,BORTEZOMIB,MSTO,0.1744980679570742,2
5-FU_BORTEZOMIB_NCIH1650,5-FU,BORTEZOMIB,NCIH1650,-0.09230837697637895,2
5-FU_BORTEZOMIB_NCIH2122,5-FU,BORTEZOMIB,NCIH2122,0.02936983314933894,2
5-FU_BORTEZOMIB_NCIH23,5-FU,BORTEZOMIB,NCIH23,-0.029490534119338236,2
5-FU_BORTEZOMIB_NCIH460,5-FU,BORTEZOMIB,NCIH460,-0.010740935135668359,2
5-FU_BORTEZOMIB_NCIH520,5-FU,BORTEZOMIB,NCIH520,-0.01980047270467496,2
5-FU_BORTEZOMIB_OCUBM,5-FU,BORTEZOMIB,OCUBM,0.015647843061816814,2
5-FU_BORTEZOMIB_OV90,5-FU,BORTEZOMIB,OV90,-0.007937233627605409,2
5-FU_BORTEZOMIB_OVCAR3,5-FU,BORTEZOMIB,OVCAR3,-0.026997194674981403,2
5-FU_BORTEZOMIB_PA1,5-FU,BORTEZOMIB,PA1,0.04161475786200317,2
5-FU_BORTEZOMIB_RKO,5-FU,BORTEZOMIB,RKO,-0.010390588577666286,2
5-FU_BORTEZOMIB_RPMI7951,5-FU,BORTEZOMIB,RPMI7951,-0.014055155394424649,2
5-FU_BORTEZOMIB_SKMEL30,5-FU,BORTEZOMIB,SKMEL30,-0.5672741750801611,2
5-FU_BORTEZOMIB_SKMES1,5-FU,BORTEZOMIB,SKMES1,-0.026621272189133603,2
5-FU_BORTEZOMIB_SKOV3,5-FU,BORTEZOMIB,SKOV3,-0.017397328337152206,2
5-FU_BORTEZOMIB_SW620,5-FU,BORTEZOMIB,SW620,0.006534780571084122,2
5-FU_BORTEZOMIB_SW837,5-FU,BORTEZOMIB,SW837,-0.0538363731514527,2
5-FU_BORTEZOMIB_T47D,5-FU,BORTEZOMIB,T47D,0.030541439708682415,2
5-FU_BORTEZOMIB_UACC62,5-FU,BORTEZOMIB,UACC62,-0.03159612630449504,2
5-FU_BORTEZOMIB_UWB1289BRCA1,5-FU,BORTEZOMIB,UWB1289BRCA1,-0.00829590941691441,2
5-FU_BORTEZOMIB_UWB1289,5-FU,BORTEZOMIB,UWB1289,-0.0011190321157717904,2
5-FU_BORTEZOMIB_VCAP,5-FU,BORTEZOMIB,VCAP,0.009489575786897906,2
5-FU_BORTEZOMIB_ZR751,5-FU,BORTEZOMIB,ZR751,0.004111930640239191,2
5-FU_DASATINIB_A2058,5-FU,DASATINIB,A2058,0.031053016278919446,1
5-FU_DASATINIB_A2780,5-FU,DASATINIB,A2780,0.15124666409359605,1
5-FU_DASATINIB_A375,5-FU,DASATINIB,A375,-0.009063365584591344,1
5-FU_DASATINIB_A427,5-FU,DASATINIB,A427,-0.025232493975033885,1
5-FU_DASATINIB_CAOV3,5-FU,DASATINIB,CAOV3,0.024352469782257156,1
5-FU_DASATINIB_COLO320DM,5-FU,DASATINIB,COLO320DM,0.029516930962443323,1
5-FU_DASATINIB_DLD1,5-FU,DASATINIB,DLD1,0.023555665916162403,1
5-FU_DASATINIB_EFM192B,5-FU,DASATINIB,EFM192B,-0.11318229048963924,1
5-FU_DASATINIB_ES2,5-FU,DASATINIB,ES2,0.059461675527054066,1
5-FU_DASATINIB_HCT116,5-FU,DASATINIB,HCT116,0.004567793116891174,1
5-FU_DASATINIB_HT144,5-FU,DASATINIB,HT144,0.04187877355711272,1
5-FU_DASATINIB_HT29,5-FU,DASATINIB,HT29,-0.0009818495664528394,1
5-FU_DASATINIB_KPL1,5-FU,DASATINIB,KPL1,-0.039439517372927876,1
5-FU_DASATINIB_LNCAP,5-FU,DASATINIB,LNCAP,-0.10815270481694861,1
5-FU_DASATINIB_LOVO,5-FU,DASATINIB,LOVO,-0.038324986926968396,1
5-FU_DASATINIB_MDAMB436,5-FU,DASATINIB,MDAMB436,-0.013103187219280284,1
5-FU_DASATINIB_MSTO,5-FU,DASATINIB,MSTO,0.005610041267351373,1
5-FU_DASATINIB_NCIH1650,5-FU,DASATINIB,NCIH1650,-0.052568407144780616,1
5-FU_DASATINIB_NCIH2122,5-FU,DASATINIB,NCIH2122,0.015564588730304245,1
5-FU_DASATINIB_NCIH23,5-FU,DASATINIB,NCIH23,-0.04983646806799835,1
5-FU_DASATINIB_NCIH460,5-FU,DASATINIB,NCIH460,0.038732552399636785,1
5-FU_DASATINIB_NCIH520,5-FU,DASATINIB,NCIH520,-0.042761341104498155,1
5-FU_DASATINIB_OCUBM,5-FU,DASATINIB,OCUBM,-0.008538281850951077,1
5-FU_DASATINIB_OV90,5-FU,DASATINIB,OV90,-0.03828302461820164,1
5-FU_DASATINIB_OVCAR3,5-FU,DASATINIB,OVCAR3,-0.06935224889382283,1
5-FU_DASATINIB_PA1,5-FU,DASATINIB,PA1,0.0904159184398061,1
5-FU_DASATINIB_RKO,5-FU,DASATINIB,RKO,0.013336176558992913,1
5-FU_DASATINIB_RPMI7951,5-FU,DASATINIB,RPMI7951,-0.05286157213673575,1
5-FU_DASATINIB_SKMEL30,5-FU,DASATINIB,SKMEL30,0.09690496389025455,1
5-FU_DASATINIB_SKMES1,5-FU,DASATINIB,SKMES1,-0.08137010240434567,1
5-FU_DASATINIB_SKOV3,5-FU,DASATINIB,SKOV3,-0.03552930111323888,1
5-FU_DASATINIB_SW620,5-FU,DASATINIB,SW620,0.06968566355367045,1
5-FU_DASATINIB_SW837,5-FU,DASATINIB,SW837,-0.0635505568459313,1
5-FU_DASATINIB_T47D,5-FU,DASATINIB,T47D,-0.12181357239786508,1
5-FU_DASATINIB_UACC62,5-FU,DASATINIB,UACC62,0.009095007280807935,1
5-FU_DASATINIB_UWB1289BRCA1,5-FU,DASATINIB,UWB1289BRCA1,-0.03828659567912079,1
5-FU_DASATINIB_UWB1289,5-FU,DASATINIB,UWB1289,-0.05149335574338616,1
5-FU_DASATINIB_VCAP,5-FU,DASATINIB,VCAP,0.06967486474021739,1
5-FU_DASATINIB_ZR751,5-FU,DASATINIB,ZR751,-0.08569529604795009,1
5-FU_DINACICLIB_A2058,5-FU,DINACICLIB,A2058,0.030784404417370435,0
5-FU_DINACICLIB_A2780,5-FU,DINACICLIB,A2780,0.04420819418214336,0
5-FU_DINACICLIB_A375,5-FU,DINACICLIB,A375,0.04846157860551249,0
5-FU_DINACICLIB_A427,5-FU,DINACICLIB,A427,-0.007201430913291954,0
5-FU_DINACICLIB_CAOV3,5-FU,DINACICLIB,CAOV3,0.010100588512695928,0
5-FU_DINACICLIB_COLO320DM,5-FU,DINACICLIB,COLO320DM,-0.0068639861468946205,0
5-FU_DINACICLIB_DLD1,5-FU,DINACICLIB,DLD1,-0.002563759893858099,0
5-FU_DINACICLIB_EFM192B,5-FU,DINACICLIB,EFM192B,-0.017236530569150428,0
5-FU_DINACICLIB_ES2,5-FU,DINACICLIB,ES2,0.03766665588268749,0
5-FU_DINACICLIB_HCT116,5-FU,DINACICLIB,HCT116,0.026166715670648016,0
5-FU_DINACICLIB_HT144,5-FU,DINACICLIB,HT144,-0.007440486898511771,0
5-FU_DINACICLIB_HT29,5-FU,DINACICLIB,HT29,0.03511615742552057,0
5-FU_DINACICLIB_KPL1,5-FU,DINACICLIB,KPL1,-0.03300443071687395,0
5-FU_DINACICLIB_LNCAP,5-FU,DINACICLIB,LNCAP,0.059912030986573675,0
5-FU_DINACICLIB_LOVO,5-FU,DINACICLIB,LOVO,-0.010889992741608791,0
5-FU_DINACICLIB_MDAMB436,5-FU,DINACICLIB,MDAMB436,-0.03657281073662164,0
5-FU_DINACICLIB_MSTO,5-FU,DINACICLIB,MSTO,0.03919735481301251,0
5-FU_DINACICLIB_NCIH1650,5-FU,DINACICLIB,NCIH1650,0.06853404742426833,0
5-FU_DINACICLIB_NCIH2122,5-FU,DINACICLIB,NCIH2122,-0.0008762396533266159,0
5-FU_DINACICLIB_NCIH23,5-FU,DINACICLIB,NCIH23,-0.056967825243654006,0
5-FU_DINACICLIB_NCIH460,5-FU,DINACICLIB,NCIH460,0.011516015828195099,0
5-FU_DINACICLIB_NCIH520,5-FU,DINACICLIB,NCIH520,-0.013366598218289482,0
5-FU_DINACICLIB_OCUBM,5-FU,DINACICLIB,OCUBM,0.04376321121782453,0
5-FU_DINACICLIB_OV90,5-FU,DINACICLIB,OV90,-0.030457432066154495,0
5-FU_DINACICLIB_OVCAR3,5-FU,DINACICLIB,OVCAR3,-0.01294118244300989,0
5-FU_DINACICLIB_PA1,5-FU,DINACICLIB,PA1,0.04727166111995155,0
5-FU_DINACICLIB_RKO,5-FU,DINACICLIB,RKO,-0.008330054404192305,0
5-FU_DINACICLIB_RPMI7951,5-FU,DINACICLIB,RPMI7951,-0.03513563542688529,0
5-FU_DINACICLIB_SKMEL30,5-FU,DINACICLIB,SKMEL30,-0.41243439588710007,0
5-FU_DINACICLIB_SKMES1,5-FU,DINACICLIB,SKMES1,-0.02779396295983841,0
5-FU_DINACICLIB_SKOV3,5-FU,DINACICLIB,SKOV3,0.004586629192855364,0
5-FU_DINACICLIB_SW620,5-FU,DINACICLIB,SW620,0.004693830002199376,0
5-FU_DINACICLIB_SW837,5-FU,DINACICLIB,SW837,-0.015882649861782443,0
5-FU_DINACICLIB_T47D,5-FU,DINACICLIB,T47D,-0.025919545942842313,0
5-FU_DINACICLIB_UACC62,5-FU,DINACICLIB,UACC62,0.005818641834956438,0
5-FU_DINACICLIB_UWB1289BRCA1,5-FU,DINACICLIB,UWB1289BRCA1,-0.0079243759171926,0
5-FU_DINACICLIB_UWB1289,5-FU,DINACICLIB,UWB1289,-0.008849994234534222,0
5-FU_DINACICLIB_VCAP,5-FU,DINACICLIB,VCAP,0.15541618314582817,0
5-FU_DINACICLIB_ZR751,5-FU,DINACICLIB,ZR751,-0.07949658627258319,0
5-FU_ERLOTINIB_A2058,5-FU,ERLOTINIB,A2058,0.09341323016270056,3
5-FU_ERLOTINIB_A2780,5-FU,ERLOTINIB,A2780,0.1353095314658499,3
5-FU_ERLOTINIB_A375,5-FU,ERLOTINIB,A375,0.04355006122841834,3
5-FU_ERLOTINIB_A427,5-FU,ERLOTINIB,A427,0.06901026505373542,3
5-FU_ERLOTINIB_CAOV3,5-FU,ERLOTINIB,CAOV3,-0.03138079968109726,3
5-FU_ERLOTINIB_COLO320DM,5-FU,ERLOTINIB,COLO320DM,0.014793967526625495,3
5-FU_ERLOTINIB_DLD1,5-FU,ERLOTINIB,DLD1,-0.0029167675065238687,3
5-FU_ERLOTINIB_EFM192B,5-FU,ERLOTINIB,EFM192B,-0.006004684095342629,3
5-FU_ERLOTINIB_ES2,5-FU,ERLOTINIB,ES2,0.05195232309942005,3
5-FU_ERLOTINIB_HCT116,5-FU,ERLOTINIB,HCT116,0.04680419426584717,3
5-FU_ERLOTINIB_HT144,5-FU,ERLOTINIB,HT144,0.017389659398617276,3
5-FU_ERLOTINIB_HT29,5-FU,ERLOTINIB,HT29,0.08858853599536987,3
5-FU_ERLOTINIB_KPL1,5-FU,ERLOTINIB,KPL1,-0.019628885986892036,3
5-FU_ERLOTINIB_LNCAP,5-FU,ERLOTINIB,LNCAP,-0.03270841118065282,3
5-FU_ERLOTINIB_LOVO,5-FU,ERLOTINIB,LOVO,-0.03895593446055518,3
5-FU_ERLOTINIB_MDAMB436,5-FU,ERLOTINIB,MDAMB436,-0.005157903757093785,3
5-FU_ERLOTINIB_MSTO,5-FU,ERLOTINIB,MSTO,0.02887645728262745,3
5-FU_ERLOTINIB_NCIH1650,5-FU,ERLOTINIB,NCIH1650,-0.03269884306571194,3
5-FU_ERLOTINIB_NCIH2122,5-FU,ERLOTINIB,NCIH2122,-0.011589947137466142,3
5-FU_ERLOTINIB_NCIH23,5-FU,ERLOTINIB,NCIH23,-0.008945735618473376,3
5-FU_ERLOTINIB_NCIH460,5-FU,ERLOTINIB,NCIH460,0.031342218653247475,3
5-FU_ERLOTINIB_NCIH520,5-FU,ERLOTINIB,NCIH520,0.008736441483122286,3
5-FU_ERLOTINIB_OCUBM,5-FU,ERLOTINIB,OCUBM,0.08455402012373242,3
5-FU_ERLOTINIB_OV90,5-FU,ERLOTINIB,OV90,-0.03868055742431287,3
5-FU_ERLOTINIB_OVCAR3,5-FU,ERLOTINIB,OVCAR3,-0.014077897619928042,3
5-FU_ERLOTINIB_PA1,5-FU,ERLOTINIB,PA1,0.11335495613354993,3
5-FU_ERLOTINIB_RKO,5-FU,ERLOTINIB,RKO,0.040542308891251364,3
5-FU_ERLOTINIB_RPMI7951,5-FU,ERLOTINIB,RPMI7951,0.036054537352469024,3
5-FU_ERLOTINIB_SKMEL30,5-FU,ERLOTINIB,SKMEL30,0.0637008271085257,3
5-FU_ERLOTINIB_SKMES1,5-FU,ERLOTINIB,SKMES1,-0.034217685574850866,3
5-FU_ERLOTINIB_SKOV3,5-FU,ERLOTINIB,SKOV3,0.03225567691816327,3
5-FU_ERLOTINIB_SW620,5-FU,ERLOTINIB,SW620,0.06292921368383689,3
5-FU_ERLOTINIB_SW837,5-FU,ERLOTINIB,SW837,-0.048519852717121024,3
5-FU_ERLOTINIB_T47D,5-FU,ERLOTINIB,T47D,-0.03562563582326829,3
5-FU_ERLOTINIB_UACC62,5-FU,ERLOTINIB,UACC62,0.0366715075850268,3
5-FU_ERLOTINIB_UWB1289BRCA1,5-FU,ERLOTINIB,UWB1289BRCA1,-0.02425605571470898,3
5-FU_ERLOTINIB_UWB1289,5-FU,ERLOTINIB,UWB1289,-0.045874003017917435,3
5-FU_ERLOTINIB_VCAP,5-FU,ERLOTINIB,VCAP,0.09497560824062408,3
5-FU_ERLOTINIB_ZR751,5-FU,ERLOTINIB,ZR751,-0.060270193542439926,3
5-FU_GELDANAMYCIN_A2058,5-FU,GELDANAMYCIN,A2058,0.012359818806718745,4
5-FU_GELDANAMYCIN_A2780,5-FU,GELDANAMYCIN,A2780,0.039220140636576625,4
5-FU_GELDANAMYCIN_A375,5-FU,GELDANAMYCIN,A375,0.058133529492415445,4
5-FU_GELDANAMYCIN_A427,5-FU,GELDANAMYCIN,A427,0.0016672400418350705,4
5-FU_GELDANAMYCIN_CAOV3,5-FU,GELDANAMYCIN,CAOV3,0.0027182301448037734,4
5-FU_GELDANAMYCIN_COLO320DM,5-FU,GELDANAMYCIN,COLO320DM,0.005510740159289686,4
5-FU_GELDANAMYCIN_DLD1,5-FU,GELDANAMYCIN,DLD1,-0.02648272732060395,4
5-FU_GELDANAMYCIN_EFM192B,5-FU,GELDANAMYCIN,EFM192B,-0.09325072159966931,4
5-FU_GELDANAMYCIN_ES2,5-FU,GELDANAMYCIN,ES2,0.019056778125563147,4
5-FU_GELDANAMYCIN_HCT116,5-FU,GELDANAMYCIN,HCT116,0.004163813588118444,4
5-FU_GELDANAMYCIN_HT144,5-FU,GELDANAMYCIN,HT144,0.0015561589804125898,4
5-FU_GELDANAMYCIN_HT29,5-FU,GELDANAMYCIN,HT29,-0.008449180758325828,4
5-FU_GELDANAMYCIN_KPL1,5-FU,GELDANAMYCIN,KPL1,-0.08684041638003268,4
5-FU_GELDANAMYCIN_LNCAP,5-FU,GELDANAMYCIN,LNCAP,-0.046041259645656966,4
5-FU_GELDANAMYCIN_LOVO,5-FU,GELDANAMYCIN,LOVO,0.03339848647764559,4
5-FU_GELDANAMYCIN_MDAMB436,5-FU,GELDANAMYCIN,MDAMB436,-0.05470167759731287,4
5-FU_GELDANAMYCIN_MSTO,5-FU,GELDANAMYCIN,MSTO,-0.003630530709669729,4
5-FU_GELDANAMYCIN_NCIH1650,5-FU,GELDANAMYCIN,NCIH1650,-0.04298806647719994,4
